match_id,season,city,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,toss_win_match_win
132,2023,Jaipur,Feroz Shah Kotla,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,wickets,Rajasthan Royals,0,2,Jos Buttler,False
133,2018,Chennai,Eden Gardens,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,wickets,Rajasthan Royals,0,8,Sanju Samson,True
134,2023,Bangalore,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,Delhi Capitals,22,0,Prithvi Shaw,True
135,2017,Hyderabad,Sawai Mansingh Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,runs,Punjab Kings,0,7,Kagiso Rabada,True
136,2021,Mumbai,Feroz Shah Kotla,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Mumbai Indians,0,2,Hardik Pandya,False
137,2020,Hyderabad,Feroz Shah Kotla,Chennai Super Kings,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,0,6,Jonny Bairstow,True
138,2022,Delhi,Eden Gardens,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,wickets,Delhi Capitals,0,2,Anrich Nortje,True
139,2023,Hyderabad,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,Delhi Capitals,0,2,Axar Patel,True
140,2019,Bangalore,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,runs,Mumbai Indians,0,8,Rohit Sharma,True
141,2015,Kolkata,Punjab Cricket Association Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,0,2,MS Dhoni,True
142,2017,Bangalore,M.A. Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,wickets,Chennai Super Kings,91,0,Deepak Chahar,True
143,2022,Kolkata,Sawai Mansingh Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,wickets,Kolkata Knight Riders,55,0,Pat Cummins,True
144,2020,Hyderabad,Rajiv Gandhi Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,wickets,Mumbai Indians,1,0,Suryakumar Yadav,False
145,2022,Kolkata,M.A. Chidambaram Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,wickets,Delhi Capitals,0,7,Axar Patel,False
146,2023,Delhi,Sawai Mansingh Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,wickets,Chennai Super Kings,0,8,Deepak Chahar,True
147,2018,Chennai,Eden Gardens,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,wickets,Rajasthan Royals,38,0,Shimron Hetmyer,True
148,2015,Kolkata,Sawai Mansingh Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,0,6,Shubman Gill,True
149,2015,Kolkata,Punjab Cricket Association Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,wickets,Delhi Capitals,0,7,Anrich Nortje,True
150,2018,Hyderabad,Eden Gardens,Punjab Kings,Mumbai Indians,Mumbai Indians,field,runs,Punjab Kings,25,0,Shikhar Dhawan,False
151,2021,Delhi,M.A. Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,wickets,Chennai Super Kings,82,0,Ravindra Jadeja,True
152,2016,Chandigarh,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,wickets,Delhi Capitals,0,1,Axar Patel,False
153,2017,Chandigarh,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,runs,Chennai Super Kings,0,1,MS Dhoni,False
154,2015,Chandigarh,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,runs,Royal Challengers Bangalore,12,0,Harshal Patel,False
155,2019,Chandigarh,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Royal Challengers Bangalore,0,5,Glenn Maxwell,True
156,2015,Chennai,Sawai Mansingh Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,Kolkata Knight Riders,90,0,Pat Cummins,True
157,2022,Bangalore,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,runs,Delhi Capitals,27,0,Anrich Nortje,True
158,2015,Hyderabad,Eden Gardens,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Sunrisers Hyderabad,8,0,Rashid Khan,True
159,2015,Hyderabad,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,wickets,Delhi Capitals,0,3,Rishabh Pant,False
160,2016,Jaipur,Eden Gardens,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,65,0,Kagiso Rabada,True
161,2016,Delhi,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,runs,Delhi Capitals,57,0,Mitchell Marsh,False
162,2020,Chandigarh,M.A. Chidambaram Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,field,runs,Punjab Kings,0,6,Shikhar Dhawan,True
163,2021,Chennai,Rajiv Gandhi Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Sunrisers Hyderabad,0,1,Kane Williamson,True
164,2019,Delhi,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,runs,Delhi Capitals,40,0,Prithvi Shaw,True
165,2015,Chandigarh,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,wickets,Punjab Kings,0,7,Liam Livingstone,True
166,2015,Chennai,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,wickets,Mumbai Indians,0,4,Hardik Pandya,False
167,2017,Delhi,M.A. Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,wickets,Kolkata Knight Riders,0,8,Andre Russell,True
168,2016,Hyderabad,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,runs,Mumbai Indians,84,0,Hardik Pandya,True
169,2019,Hyderabad,M.A. Chidambaram Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,wickets,Rajasthan Royals,56,0,Yuzvendra Chahal,True
170,2020,Bangalore,Rajiv Gandhi Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,runs,Rajasthan Royals,49,0,Jos Buttler,False
171,2021,Mumbai,Punjab Cricket Association Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Mumbai Indians,0,2,Suryakumar Yadav,False
172,2018,Bangalore,Eden Gardens,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,wickets,Rajasthan Royals,0,2,Shimron Hetmyer,True
173,2021,Kolkata,Sawai Mansingh Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,runs,Delhi Capitals,49,0,Mitchell Marsh,False
174,2022,Bangalore,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,runs,Kolkata Knight Riders,0,5,Shubman Gill,False
175,2015,Bangalore,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,runs,Sunrisers Hyderabad,0,8,Kane Williamson,False
176,2020,Jaipur,Rajiv Gandhi Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,Kolkata Knight Riders,8,0,Shubman Gill,False
177,2022,Delhi,Eden Gardens,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,runs,Royal Challengers Bangalore,43,0,Virat Kohli,False
178,2019,Jaipur,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,wickets,Sunrisers Hyderabad,20,0,Rashid Khan,False
179,2018,Mumbai,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,runs,Delhi Capitals,97,0,Anrich Nortje,True
180,2016,Kolkata,Feroz Shah Kotla,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Kolkata Knight Riders,90,0,Andre Russell,False
181,2020,Delhi,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,wickets,Sunrisers Hyderabad,0,7,Nicholas Pooran,False
182,2020,Chennai,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,wickets,Rajasthan Royals,85,0,Yuzvendra Chahal,False
183,2015,Chandigarh,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,wickets,Royal Challengers Bangalore,49,0,Glenn Maxwell,True
184,2023,Kolkata,Rajiv Gandhi Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,runs,Rajasthan Royals,0,8,Jos Buttler,False
185,2020,Hyderabad,Feroz Shah Kotla,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Sunrisers Hyderabad,62,0,Kane Williamson,True
186,2017,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,wickets,Rajasthan Royals,54,0,Yuzvendra Chahal,False
187,2018,Kolkata,Wankhede Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,runs,Sunrisers Hyderabad,9,0,Bhuvneshwar Kumar,False
188,2018,Chandigarh,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,runs,Sunrisers Hyderabad,88,0,Bhuvneshwar Kumar,True
189,2017,Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,runs,Delhi Capitals,37,0,Rishabh Pant,False
190,2017,Kolkata,Punjab Cricket Association Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,runs,Delhi Capitals,49,0,Rishabh Pant,False
191,2017,Bangalore,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,runs,Royal Challengers Bangalore,0,6,Glenn Maxwell,False
192,2018,Chandigarh,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,wickets,Rajasthan Royals,17,0,Shimron Hetmyer,False
193,2021,Hyderabad,Feroz Shah Kotla,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,runs,Rajasthan Royals,0,1,Jos Buttler,False
194,2018,Delhi,Eden Gardens,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,wickets,Rajasthan Royals,0,7,Trent Boult,False
195,2023,Chennai,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,runs,Chennai Super Kings,0,8,MS Dhoni,False
196,2015,Hyderabad,M.A. Chidambaram Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,0,2,Kagiso Rabada,True
197,2022,Bangalore,Feroz Shah Kotla,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,runs,Kolkata Knight Riders,0,8,Andre Russell,True
198,2021,Bangalore,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,wickets,Rajasthan Royals,55,0,Yuzvendra Chahal,False
199,2016,Chennai,Rajiv Gandhi Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,wickets,Royal Challengers Bangalore,41,0,Dinesh Karthik,False
200,2022,Delhi,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,runs,Royal Challengers Bangalore,39,0,Dinesh Karthik,False
201,2015,Kolkata,M.A. Chidambaram Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,wickets,Mumbai Indians,0,9,Rohit Sharma,True
202,2023,Bangalore,M. Chinnaswamy Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,tie,Rajasthan Royals,64,0,Yuzvendra Chahal,True
203,2023,Mumbai,M. Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,wickets,Delhi Capitals,11,0,Mitchell Marsh,True
204,2016,Mumbai,Sawai Mansingh Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,wickets,Punjab Kings,19,0,Liam Livingstone,False
205,2021,Chandigarh,M. Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,runs,Delhi Capitals,0,9,Axar Patel,False
206,2017,Hyderabad,Sawai Mansingh Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,0,2,Not Awarded,True
207,2021,Bangalore,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,Kolkata Knight Riders,0,4,Andre Russell,False
208,2023,Delhi,M.A. Chidambaram Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,runs,Mumbai Indians,0,4,Ishan Kishan,False
209,2018,Chandigarh,M.A. Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,tie,Rajasthan Royals,0,2,Sanju Samson,False
210,2015,Hyderabad,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,runs,Delhi Capitals,40,0,Axar Patel,True
211,2016,Hyderabad,Sawai Mansingh Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,wickets,Mumbai Indians,0,3,Ishan Kishan,False
212,2015,Chandigarh,M.A. Chidambaram Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,wickets,Mumbai Indians,0,1,Rohit Sharma,False
213,2019,Jaipur,Eden Gardens,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Sunrisers Hyderabad,0,6,Rashid Khan,True
214,2019,Hyderabad,Feroz Shah Kotla,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,tie,Mumbai Indians,0,8,Jasprit Bumrah,True
215,2021,Kolkata,Eden Gardens,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,runs,Sunrisers Hyderabad,0,3,Bhuvneshwar Kumar,False
216,2023,Mumbai,Rajiv Gandhi Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,runs,Rajasthan Royals,0,5,Shimron Hetmyer,True
217,2023,Mumbai,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Royal Challengers Bangalore,0,1,Glenn Maxwell,True
218,2017,Hyderabad,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,runs,Rajasthan Royals,33,0,Trent Boult,False
219,2017,Mumbai,Feroz Shah Kotla,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,runs,Kolkata Knight Riders,45,0,Pat Cummins,False
220,2017,Delhi,Punjab Cricket Association Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,runs,Chennai Super Kings,0,9,Ruturaj Gaikwad,False
221,2018,Jaipur,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,wickets,Punjab Kings,0,8,KL Rahul,False
222,2022,Jaipur,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,Delhi Capitals,69,0,Axar Patel,True
223,2020,Hyderabad,Rajiv Gandhi Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,runs,Chennai Super Kings,0,7,Ravindra Jadeja,False
224,2022,Mumbai,Eden Gardens,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Rajasthan Royals,0,5,Sanju Samson,False
225,2015,Chennai,Wankhede Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,Sunrisers Hyderabad,91,0,Bhuvneshwar Kumar,True
226,2022,Bangalore,Eden Gardens,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,runs,Punjab Kings,0,5,Shikhar Dhawan,True
227,2018,Chandigarh,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,wickets,Sunrisers Hyderabad,87,0,Rashid Khan,False
228,2015,Chandigarh,Eden Gardens,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,wickets,Rajasthan Royals,30,0,Trent Boult,False
229,2022,Jaipur,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,wickets,Chennai Super Kings,0,1,Ambati Rayudu,False
230,2018,Hyderabad,Feroz Shah Kotla,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,runs,Rajasthan Royals,0,4,Jos Buttler,False
231,2020,Hyderabad,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,wickets,Kolkata Knight Riders,49,0,Venkatesh Iyer,False
232,2022,Delhi,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,wickets,Royal Challengers Bangalore,0,9,Dinesh Karthik,False
233,2018,Kolkata,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,wickets,Delhi Capitals,0,5,Mitchell Marsh,True
234,2017,Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,Royal Challengers Bangalore,82,0,Faf du Plessis,True
235,2023,Kolkata,M.A. Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,wickets,Delhi Capitals,18,0,Mitchell Marsh,False
236,2017,Jaipur,M.A. Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,0,3,Ambati Rayudu,True
237,2023,Delhi,Feroz Shah Kotla,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,wickets,Chennai Super Kings,68,0,Ambati Rayudu,True
238,2016,Delhi,Rajiv Gandhi Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,tie,Punjab Kings,0,1,Shikhar Dhawan,True
239,2016,Delhi,M. Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,wickets,Mumbai Indians,33,0,Suryakumar Yadav,False
240,2016,Delhi,Punjab Cricket Association Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Mumbai Indians,36,0,Hardik Pandya,False
241,2020,Jaipur,Wankhede Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,wickets,Sunrisers Hyderabad,82,0,David Warner,True
242,2017,Kolkata,Rajiv Gandhi Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,runs,Sunrisers Hyderabad,0,9,Bhuvneshwar Kumar,False
243,2023,Chandigarh,Punjab Cricket Association Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,runs,Delhi Capitals,28,0,Prithvi Shaw,False
244,2018,Delhi,Punjab Cricket Association Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,wickets,Rajasthan Royals,0,2,Shimron Hetmyer,True
245,2015,Chandigarh,M. Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,wickets,Delhi Capitals,84,0,Anrich Nortje,True
246,2018,Mumbai,Feroz Shah Kotla,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,0,9,Kagiso Rabada,True
247,2015,Hyderabad,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,Kolkata Knight Riders,0,7,Pat Cummins,False
248,2019,Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Royal Challengers Bangalore,0,9,Glenn Maxwell,False
249,2018,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,runs,Royal Challengers Bangalore,41,0,Dinesh Karthik,False
250,2022,Chennai,Wankhede Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,tie,Royal Challengers Bangalore,39,0,Faf du Plessis,False
251,2022,Chennai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,tie,Chennai Super Kings,0,4,Ambati Rayudu,False
252,2021,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,Royal Challengers Bangalore,0,2,Dinesh Karthik,False
253,2017,Jaipur,Rajiv Gandhi Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,wickets,Chennai Super Kings,29,0,Deepak Chahar,True
254,2015,Hyderabad,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,wickets,Chennai Super Kings,0,9,Ravindra Jadeja,True
255,2015,Mumbai,M. Chinnaswamy Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,wickets,Punjab Kings,0,6,Shikhar Dhawan,True
256,2017,Chennai,M.A. Chidambaram Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,runs,Rajasthan Royals,51,0,Jos Buttler,True
257,2020,Kolkata,M. Chinnaswamy Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,wickets,Punjab Kings,75,0,Jonny Bairstow,False
258,2021,Kolkata,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,77,0,Sunil Narine,True
259,2020,Jaipur,Rajiv Gandhi Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,wickets,Chennai Super Kings,0,1,Deepak Chahar,False
260,2020,Mumbai,M.A. Chidambaram Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,runs,Punjab Kings,0,4,Shikhar Dhawan,False
261,2020,Jaipur,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,wickets,Kolkata Knight Riders,82,0,Pat Cummins,True
262,2017,Bangalore,Sawai Mansingh Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Delhi Capitals,51,0,Rishabh Pant,False
263,2020,Kolkata,M.A. Chidambaram Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,wickets,Punjab Kings,73,0,Jonny Bairstow,True
264,2022,Chandigarh,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,wickets,Punjab Kings,39,0,Shikhar Dhawan,True
265,2016,Jaipur,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,wickets,Sunrisers Hyderabad,0,8,David Warner,True
266,2019,Delhi,M. Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,wickets,Mumbai Indians,3,0,Rohit Sharma,True
